Date,Product,Quantity,UnitPrice
2023-01-01,Widget E,5,41
2023-01-02,Widget D,1,34
2023-01-03,Widget C,3,75
2023-01-04,Widget B,4,43
2023-01-05,Widget A,3,97
2023-01-06,Widget B,9,65
2023-01-07,Widget D,2,82
2023-01-08,Widget D,9,15
2023-01-09,Widget A,2,10
2023-01-10,Widget D,9,97
2023-01-11,Widget B,4,19
2023-01-12,Widget D,1,82
2023-01-13,Widget C,6,44
2023-01-14,Widget A,3,57
2023-01-15,Widget E,4,61
2023-01-16,Widget D,3,71
2023-01-17,Widget D,3,90
2023-01-18,Widget E,6,51
2023-01-19,Widget C,2,18
2023-01-20,Widget E,4,68
2023-01-21,Widget B,10,40
2023-01-22,Widget C,1,19
2023-01-23,Widget E,8,68
2023-01-24,Widget C,10,37
2023-01-25,Widget C,8,22
2023-01-26,Widget D,5,62
2023-01-27,Widget B,2,19
2023-01-28,Widget C,2,53
2023-01-29,Widget A,3,44
2023-01-30,Widget E,3,16
2023-01-31,Widget C,1,75
2023-02-01,Widget C,5,57
2023-02-02,Widget B,10,13
2023-02-03,Widget E,3,53
2023-02-04,Widget C,5,67
2023-02-05,Widget B,1,28
2023-02-06,Widget D,5,64
2023-02-07,Widget A,2,97
2023-02-08,Widget E,8,95
2023-02-09,Widget B,7,70
2023-02-10,Widget D,9,93
2023-02-11,Widget A,1,68
2023-02-12,Widget E,3,64
2023-02-13,Widget C,8,33
2023-02-14,Widget C,6,73
2023-02-15,Widget A,2,95
2023-02-16,Widget E,9,70
2023-02-17,Widget D,7,90
2023-02-18,Widget D,10,37
2023-02-19,Widget D,10,66
